llh	children_0	children_1	children_2	children_3	children_4	children_5	children_6	children_7
-590.6691284179688	1	3;5;6;7		4	2			
-590.6139526367188	1	5;6;3		4;7	2			
-590.085693359375	1	3;5;7		4	2			6
-590.5810546875	1	3;2;7	6	4	5			
-590.085693359375	1	5;3;7		4;6	2			
-591.2568359375	1	5;3		4;6;7	2			
-590.2579345703125	1	6;3		5;4	2;7			
-590.6139526367188	1	5;3		4;7	2			6
-590.0814208984375	1	3;5;7		4	2	6		
-590.0987548828125	1	3;6;7		4	2			5
-589.61865234375	1	3;7	6	4	5			2
-589.6666870117188	1	3;7		4	2	6		5
-591.471435546875	1	3;7		4	2		5	6
-589.6666870117188	1	3;7		4	2			5;6
